Text	POS	Dep	Head
JULES	PROPN	ROOT	JULES
VERNE	ADP	xcomp	JULES
CINQ	NUM	nummod	SEMAINES
SEMAINES	NOUN	ROOT	SEMAINES
EN	ADP	case	BALLON
BALLON	PROPN	nmod	SEMAINES
VOYAGE	NOUN	ROOT	VOYAGE
DE	ADP	case	DÉCOUVERTES
DÉCOUVERTES	NOUN	nmod	VOYAGE
EN	ADP	case	AFRIQUE
AFRIQUE	PROPN	nmod	VOYAGE
PAR	ADP	case	ANGLAIS
3	NUM	nummod	ANGLAIS
ANGLAIS	NOUN	ROOT	ANGLAIS
CHAPITRE	NOUN	ROOT	CHAPITRE
PREMIER	ADJ	amod	CHAPITRE
La	DET	det	fin
fin	NOUN	nsubj	applaudi.--
d'	ADP	case	discours
un	DET	det	discours
discours	NOUN	nmod	fin
très	ADV	advmod	applaudi.--
applaudi.--	VERB	ROOT	applaudi.--
Présentation	NOUN	obj	applaudi.--
du	ADP	case	docteur
docteur	NOUN	nmod	Présentation
Samuel	PROPN	amod	docteur
Fergusson--	VERB	punct	applaudi.--
«	NOUN	xcomp	applaudi.--
Excelsior	PROPN	ROOT	Excelsior
.	PUNCT	ROOT	.
»	PUNCT	punct	Portrait
--	PUNCT	punct	Portrait
Portrait	VERB	dep	Dîner
en	ADP	case	pied
pied	NOUN	nmod	Portrait
du	ADP	case	docteur.--
docteur.--	ADJ	nmod	Portrait
Un	DET	det	fataliste
fataliste	NOUN	obj	docteur.--
convaincu.--	NOUN	parataxis	Portrait
Dîner	VERB	ROOT	Dîner
au	ADP	case	Traveller'
Traveller'	SCONJ	obl:arg	Dîner
s	PRON	nsubj	toasts
club.--	ADJ	cop	toasts
Nombreux	NUM	nummod	toasts
toasts	NOUN	obj	Dîner
de	ADP	case	circonstance
circonstance	NOUN	nmod	toasts
Il	PRON	expl:subj	avait
y	PRON	expl:comp	avait
avait	VERB	ROOT	avait
une	DET	det	affluence
grande	ADJ	amod	affluence
affluence	NOUN	obj	avait
d'	ADP	case	auditeurs
auditeurs	NOUN	nmod	affluence
,	PUNCT	punct	avait
le	DET	det	14
14	NUM	obl:mod	avait
janvier	NOUN	nmod	14
1862	NUM	nmod	janvier
,	PUNCT	punct	avait
à	ADP	case	séance
la	DET	det	séance
séance	NOUN	dep	,
de	ADP	case	Société
la	DET	det	Société
Société	PROPN	nmod	séance
royale	ADJ	amod	Société
géographique	ADJ	amod	Société
de	ADP	case	Londres
Londres	PROPN	nmod	Société
,	PUNCT	punct	séance
Waterloo	PROPN	appos	séance
place	NOUN	flat:name	Waterloo
,	PUNCT	punct	séance
3	NUM	nummod	séance
.	PUNCT	punct	avait
Le	DET	det	président
président	NOUN	nsubj	faisait
,	PUNCT	punct	faisait
sir	ADV	case	Francis
Francis	PROPN	dep	,
M	NOUN	flat:name	Francis
…	PUNCT	punct	faisait
,	PUNCT	punct	faisait
faisait	VERB	ROOT	faisait
à	ADP	case	honorables
ses	DET	det	honorables
honorables	NOUN	obl:arg	faisait
collègues	ADJ	amod	honorables
une	DET	det	communication
importante	ADJ	amod	communication
communication	NOUN	obj	faisait
dans	ADP	case	discours
un	DET	det	discours
discours	NOUN	obl:mod	communication
fréquemment	ADV	advmod	interrompu
interrompu	VERB	acl	discours
par	ADP	case	applaudissements
les	DET	det	applaudissements
applaudissements	NOUN	obl:agent	interrompu
.	PUNCT	punct	faisait
Ce	DET	det	rare
rare	NOUN	nsubj	terminait
morceau	ADJ	amod	rare
d'	ADP	case	éloquence
éloquence	NOUN	nmod	rare
se	PRON	obj	terminait
terminait	VERB	ROOT	terminait
enfin	ADV	advmod	terminait
par	ADP	case	phrases
quelques	DET	det	phrases
phrases	ADJ	amod	ronflantes
ronflantes	NOUN	obj	terminait
dans	ADP	case	lesquelles
lesquelles	PRON	obl:mod	déversait
le	DET	det	patriotisme
patriotisme	NOUN	nsubj	déversait
se	PRON	expl:pass	déversait
déversait	VERB	acl:relcl	ronflantes
à	ADP	case	pleines
pleines	NOUN	obl:arg	déversait
périodes	ADJ	obj	déversait
;	PUNCT	punct	déversait
«	VERB	ROOT	«
L'	DET	det	Angleterre
Angleterre	NOUN	nsubj	a
a	AUX	ROOT	a
toujours	ADV	advmod	a
à	ADP	case	tête
la	DET	det	tête
tête	NOUN	obl:arg	a
des	ADP	case	nations
nations	NOUN	nmod	tête
(	PUNCT	punct	a
car	CCONJ	cc	remarqué
,	PUNCT	punct	remarqué
on	PRON	nsubj	remarqué
l'	PRON	obj	remarqué
a	AUX	aux:tense	remarqué
remarqué	VERB	advcl	marchent
,	PUNCT	punct	marchent
les	DET	det	nations
nations	NOUN	nsubj	marchent
marchent	VERB	conj	a
universellement	VERB	advmod	marchent
à	ADP	case	tête
la	DET	det	tête
tête	NOUN	obl:arg	universellement
les	DET	det	unes
unes	NOUN	obj	marchent
des	ADP	case	autres
autres	ADJ	nmod	unes
)	PUNCT	punct	unes
,	PUNCT	punct	marchent
«	VERB	advcl	marchent
par	ADP	case	intrépidité
l'	DET	det	intrépidité
intrépidité	NOUN	nmod	«
de	ADP	case	voyageurs
ses	DET	det	voyageurs
voyageurs	NOUN	nmod	intrépidité
dans	ADP	case	voie
la	DET	det	voie
voie	NOUN	nmod	intrépidité
des	ADP	case	découvertes
découvertes	NOUN	nmod	voie
géographiques	ADJ	amod	découvertes
.	PUNCT	punct	a
-(Assentiments	ADJ	ROOT	-(Assentiments
nombreux	ADJ	amod	-(Assentiments
.	PUNCT	punct	-(Assentiments
)	PUNCT	punct	-(Assentiments
Le	DET	det	docteur
docteur	NOUN	nsubj	faillira
Samuel	PROPN	appos	docteur
Fergusson	PROPN	flat:name	Samuel
,	PUNCT	punct	faillira
l'	DET	det	un
un	PRON	nsubj	faillira
de	ADP	case	glorieux
ses	DET	det	glorieux
glorieux	NOUN	nmod	un
enfants	NOUN	amod	glorieux
,	PUNCT	punct	faillira
ne	ADV	advmod	faillira
faillira	VERB	ROOT	faillira
pas	ADV	advmod	faillira
à	ADP	case	origine
son	DET	det	origine
origine	NOUN	obl:arg	faillira
.	PUNCT	punct	faillira
(	PUNCT	ROOT	(
De	ADP	case	parts
toutes	ADJ	amod	parts
parts	NOUN	dep	(
:	PUNCT	punct	parts
Non	ADV	appos	parts
!	PUNCT	punct	Non
non	ADV	ROOT	non
!	PUNCT	punct	non
)	PUNCT	punct	non
Cette	DET	det	tentative
tentative	NOUN	nsubj	réussira
,	PUNCT	punct	réussira
si	SCONJ	mark	réussit
elle	PRON	nsubj	réussit
réussit	VERB	advcl	réussira
(	PUNCT	punct	réussit
elle	PRON	nsubj	réussira
réussira	VERB	ROOT	réussira
!	PUNCT	punct	réussira
)	PUNCT	punct	réussira
reliera	VERB	advcl	réussira
,	PUNCT	punct	reliera
en	ADP	case	complétant
les	DET	det	complétant
complétant	NOUN	obl:mod	reliera
,	PUNCT	punct	reliera
les	DET	det	notions
notions	NOUN	obj	reliera
éparses	ADJ	amod	notions
de	ADP	case	cartologie
la	DET	det	cartologie
cartologie	NOUN	nmod	notions
africaine	ADJ	amod	cartologie
(	PUNCT	punct	cartologie
véhémente	ADJ	amod	approbation
approbation	NOUN	appos	cartologie
)	PUNCT	punct	cartologie
,	PUNCT	punct	reliera
et	CCONJ	cc	échoue
si	SCONJ	mark	échoue
elle	PRON	nsubj	échoue
échoue	VERB	conj	reliera
(	PUNCT	punct	échoue
jamais	ADV	advmod	échoue
!	PUNCT	punct	réussira
jamais	ADV	advmod	restera
!	PUNCT	punct	jamais
)	PUNCT	punct	jamais
,	PUNCT	punct	restera
elle	PRON	nsubj	restera
restera	VERB	ROOT	restera
du	ADP	advmod	un
moins	ADV	fixed	du
comme	ADP	case	un
l'	DET	det	un
un	PRON	obl:arg	restera
des	ADP	case	conceptions
plus	ADV	advmod	audacieuses
audacieuses	ADJ	amod	conceptions
conceptions	NOUN	nmod	un
du	ADP	case	génie
génie	NOUN	nmod	conceptions
humain	ADJ	amod	génie
!	PUNCT	punct	restera
(	PUNCT	punct	restera
Trépignements	NOUN	ROOT	Trépignements
frénétiques	ADJ	amod	Trépignements
.	PUNCT	punct	Trépignements
)	PUNCT	ROOT	)
»	PUNCT	ROOT	»
--	PUNCT	det	Hourra
Hourra	NOUN	ROOT	Hourra
!	PUNCT	punct	Hourra
hourra	NOUN	ROOT	hourra
!	PUNCT	punct	hourra
fit	VERB	ROOT	fit
l'	DET	det	assemblée
assemblée	NOUN	obj	fit
électrisée	VERB	acl	assemblée
par	ADP	case	émouvantes
ces	DET	det	émouvantes
émouvantes	NOUN	obl:agent	électrisée
paroles	ADJ	amod	émouvantes
.	PUNCT	punct	fit
--	PUNCT	punct	Hourra
Hourra	NOUN	ROOT	Hourra
pour	ADP	case	intrépide
l'	DET	det	intrépide
intrépide	NOUN	nmod	Hourra
Fergusson	PROPN	nmod	intrépide
!	PUNCT	punct	Hourra
»	PUNCT	punct	écria
s'	PRON	expl:comp	écria
écria	VERB	ROOT	écria
l'	DET	det	un
un	PRON	obj	écria
des	ADP	case	membres
membres	NOUN	nmod	un
les	DET	det	expansifs
plus	ADV	advmod	expansifs
expansifs	ADJ	amod	membres
de	ADP	case	auditoire
l'	DET	det	auditoire
auditoire	NOUN	nmod	membres
.	PUNCT	punct	écria
Des	DET	det	retentirent
cris	ADJ	amod	retentirent
enthousiastes	ADJ	amod	retentirent
retentirent	NOUN	ROOT	retentirent
.	PUNCT	punct	retentirent
Le	DET	det	nom
nom	NOUN	ROOT	nom
de	ADP	case	Fergusson
Fergusson	PROPN	nmod	nom
éclata	NOUN	amod	nom
dans	ADP	case	bouches
toutes	ADJ	amod	bouches
les	DET	det	bouches
bouches	NOUN	nmod	nom
,	PUNCT	punct	nom
et	CCONJ	cc	fondés
nous	PRON	nsubj	fondés
sommes	AUX	aux:tense	fondés
fondés	VERB	conj	nom
à	ADP	mark	croire
croire	VERB	xcomp	fondés
qu'	SCONJ	mark	singulièrement
il	PRON	nsubj	singulièrement
gagna	AUX	fixed	il
singulièrement	VERB	ccomp	croire
à	ADP	mark	passer
passer	VERB	xcomp	singulièrement
par	ADP	case	gosiers
des	DET	det	gosiers
gosiers	NOUN	obl:arg	passer
anglais	PRON	nmod	gosiers
.	PUNCT	punct	nom
La	DET	det	salle
salle	NOUN	ROOT	salle
des	ADP	case	séances
séances	NOUN	nmod	salle
en	PRON	dep	fut
fut	AUX	punct	salle
ébranlée	VERB	ROOT	ébranlée
.	PUNCT	punct	ébranlée
Ils	PRON	nsubj	nombreux
étaient	AUX	cop	nombreux
là	ADV	advmod	pourtant
pourtant	ADV	advmod	nombreux
,	PUNCT	punct	nombreux
nombreux	ADJ	dep	voyageurs
,	PUNCT	punct	nombreux
vieillis	VERB	advcl	nombreux
,	PUNCT	punct	fatigués
fatigués	VERB	conj	vieillis
,	PUNCT	punct	voyageurs
ces	DET	det	intrépides
intrépides	NOUN	nsubj	voyageurs
voyageurs	ADJ	ROOT	voyageurs
que	SCONJ	mark	mobile
leur	DET	det	tempérament
tempérament	NOUN	advmod	mobile
mobile	ADJ	dep	voyageurs
promena	VERB	acl	mobile
dans	ADP	case	parties
les	DET	det	parties
cinq	NUM	nummod	parties
parties	NOUN	obl:mod	promena
du	ADP	case	monde
monde	NOUN	nmod	parties
!	PUNCT	punct	voyageurs
Tous	ADJ	advmod	échappé
,	PUNCT	punct	Tous
plus	ADV	advmod	échappé
ou	CCONJ	cc	moins
moins	ADV	conj	plus
,	PUNCT	punct	échappé
physiquement	ADV	advmod	échappé
ou	CCONJ	cc	moralement
moralement	ADV	conj	physiquement
,	PUNCT	punct	échappé
ils	PRON	nsubj	échappé
avaient	AUX	aux:tense	échappé
échappé	VERB	ROOT	échappé
aux	ADP	case	naufrages
naufrages	NOUN	obl:arg	échappé
,	PUNCT	punct	échappé
aux	ADP	case	incendies
incendies	NOUN	obl:arg	échappé
.	PUNCT	punct	échappé
aux	ADP	case	tomahawks
tomahawks	NOUN	ROOT	tomahawks
de	ADP	case	Indien
l'	DET	det	Indien
Indien	NOUN	nmod	tomahawks
,	PUNCT	punct	tomahawks
aux	ADP	case	casse-têtes
casse-têtes	NOUN	nmod	tomahawks
du	ADP	case	sauvage
sauvage	NOUN	nmod	casse-têtes
,	PUNCT	punct	tomahawks
au	ADP	case	poteau
poteau	NOUN	nmod	tomahawks
du	ADP	case	supplice
supplice	NOUN	nmod	poteau
,	PUNCT	punct	estomacs
aux	ADP	case	estomacs
estomacs	NOUN	conj	tomahawks
de	ADP	case	Polynésie
la	DET	det	Polynésie
Polynésie	PROPN	nmod	estomacs
!	PUNCT	punct	tomahawks
Mais	CCONJ	cc	put
rien	PRON	nsubj	put
ne	ADV	advmod	put
put	VERB	ROOT	put
comprimer	VERB	xcomp	put
les	DET	det	battements
battements	NOUN	obj	comprimer
de	ADP	case	cœurs
leurs	DET	det	cœurs
cœurs	NOUN	nmod	battements
pendant	ADP	case	discours
le	DET	det	discours
discours	NOUN	nmod	battements
de	ADP	case	Francis
sir	DET	det	Francis
Francis	PROPN	nmod	discours
M	NOUN	flat:name	Francis
...	PUNCT	punct	put
,	PUNCT	punct	put
et	CCONJ	cc	mémoire
,	PUNCT	punct	mémoire
de	ADP	case	mémoire
mémoire	NOUN	conj	put
humaine	ADJ	amod	mémoire
,	PUNCT	punct	put
ce	PRON	dep	put
fut	AUX	cop	beau
là	ADV	advmod	certainement
certainement	ADV	advmod	beau
le	DET	det	beau
plus	ADV	advmod	beau
beau	NOUN	dep	ce
succès	NOUN	flat:name	beau
oratoire	ADJ	amod	succès
de	ADP	case	Société
