Text	POS	Dep	Head
I	NOUN	ROOT	I
----------------------------------	DET	ROOT	----------------------------------
OU	CCONJ	cc	MR
MR	PROPN	ROOT	MR
.	PUNCT	ROOT	.
SHARP	NOUN	nsubj	FAIT
FAIT	VERB	ROOT	FAIT
SON	DET	det	ENTREE
ENTREE	NOUN	obj	FAIT
«	NUM	ROOT	«
Ces	DET	det	journaux
journaux	NOUN	nsubj	faits
anglais	PRON	amod	journaux
sont	AUX	cop	faits
vraiment	ADV	advmod	faits
bien	ADV	advmod	faits
faits	NOUN	ROOT	faits
!	PUNCT	punct	faits
»	PUNCT	punct	dit
se	PRON	expl:comp	dit
dit	VERB	ROOT	dit
à	ADP	case	lui-même
lui-même	ADV	xcomp	dit
le	DET	det	docteur
bon	ADJ	amod	docteur
docteur	NOUN	obj	dit
en	ADP	mark	renversant
se	PRON	expl:comp	renversant
renversant	VERB	advcl	dit
dans	ADP	case	fauteuil
un	DET	det	fauteuil
grand	ADJ	amod	fauteuil
fauteuil	NOUN	obl:arg	renversant
de	ADP	case	cuir
cuir	NOUN	nmod	fauteuil
.	PUNCT	punct	dit
Le	DET	det	docteur
docteur	NOUN	nsubj	pratiqué
Sarrasin	PROPN	flat:name	docteur
avait	AUX	aux:tense	pratiqué
toute	ADJ	amod	vie
sa	DET	det	vie
vie	NOUN	obj	avait
pratiqué	VERB	ROOT	pratiqué
le	DET	det	monologue
monologue	NOUN	obj	pratiqué
,	PUNCT	punct	pratiqué
qui	PRON	nsubj	formes
est	AUX	cop	formes
une	DET	det	formes
des	ADP	case	formes
formes	NOUN	dep	pratiqué
de	ADP	case	distraction
la	DET	det	distraction
distraction	NOUN	nmod	formes
.	PUNCT	punct	pratiqué
C'	PRON	nsubj	homme
était	AUX	cop	homme
un	DET	det	homme
homme	NOUN	ROOT	homme
de	ADP	case	ans
cinquante	NUM	nummod	ans
ans	NOUN	nmod	homme
,	PUNCT	punct	homme
aux	ADP	case	traits
traits	NOUN	nmod	homme
fins	ADJ	amod	traits
,	PUNCT	punct	homme
aux	ADP	case	yeux
yeux	NOUN	nmod	homme
vifs	NOUN	amod	yeux
et	CCONJ	cc	purs
purs	ADJ	conj	vifs
sous	ADP	case	lunettes
leurs	DET	det	lunettes
lunettes	NOUN	nmod	homme
d'	ADP	case	acier
acier	NOUN	nmod	homme
,	PUNCT	punct	homme
de	ADP	case	physionomie
physionomie	NOUN	nmod	homme
à	ADP	case	fois
la	DET	det	fois
fois	NOUN	nmod	homme
grave	ADJ	amod	fois
et	CCONJ	cc	aimable
aimable	ADJ	conj	grave
,	PUNCT	punct	homme
un	PRON	dep	homme
de	ADP	case	individus
ces	DET	det	individus
individus	NOUN	nmod	un
dont	PRON	dep	dit
on	PRON	nsubj	dit
se	PRON	expl:comp	dit
dit	VERB	acl:relcl	individus
à	ADP	case	vue
première	ADJ	amod	vue
vue	NOUN	obl:arg	dit
:	PUNCT	punct	homme
voilà	VERB	acl	homme
un	DET	det	brave
brave	NOUN	obj	voilà
homme	ADJ	amod	brave
.	PUNCT	punct	homme
A	ADP	case	heure
cette	DET	det	heure
heure	NOUN	obl:mod	trahît
matinale	ADJ	amod	heure
,	PUNCT	punct	heure
bien	ADV	mark	trahît
que	SCONJ	fixed	bien
sa	DET	det	tenue
tenue	NOUN	nsubj	trahît
ne	ADV	advmod	trahît
trahît	VERB	ROOT	trahît
aucune	DET	det	recherche
recherche	NOUN	obj	trahît
,	PUNCT	punct	trahît
le	DET	det	docteur
docteur	NOUN	nsubj	rasé
était	AUX	aux:pass	rasé
déjà	ADV	advmod	rasé
rasé	VERB	advcl	trahît
de	ADP	case	frais
frais	NOUN	obl:arg	rasé
et	CCONJ	cc	cravaté
cravaté	VERB	conj	rasé
de	ADP	mark	blanc
blanc	ADJ	dep	cravaté
.	PUNCT	punct	trahît
Sur	ADP	case	tapis
le	DET	det	tapis
tapis	NOUN	ROOT	tapis
,	PUNCT	punct	étalaient
sur	ADP	case	meubles
les	DET	det	meubles
meubles	NOUN	obl:mod	étalaient
de	ADP	case	chambre
sa	DET	det	chambre
chambre	NOUN	nmod	meubles
d'	ADP	case	hôtel
hôtel	NOUN	nmod	chambre
,	PUNCT	punct	meubles
à	ADP	case	Brighton
Brighton	PROPN	nmod	meubles
,	PUNCT	punct	étalaient
s'	PRON	expl:comp	étalaient
étalaient	VERB	ROOT	étalaient
le	DET	det	Times
Times	PROPN	obj	étalaient
,	PUNCT	punct	étalaient
le	DET	det	Daily
Daily	PROPN	obl:mod	étalaient
Telegraph	PROPN	flat:name	Daily
,	PUNCT	punct	Daily
le	DET	det	Daily
Daily	PROPN	nmod	Daily
News	PROPN	nmod	Daily
.	PUNCT	punct	étalaient
Dix	NUM	nummod	heures
heures	NOUN	nsubj	sonnaient
sonnaient	ADV	ROOT	sonnaient
à	ADP	case	peine
peine	NOUN	obl:arg	sonnaient
,	PUNCT	punct	sonnaient
et	CCONJ	cc	eu
le	DET	det	docteur
docteur	NOUN	nsubj	eu
avait	AUX	aux:tense	eu
eu	VERB	conj	sonnaient
le	DET	det	temps
temps	NOUN	obj	eu
de	ADP	mark	faire
faire	VERB	acl	temps
le	DET	det	tour
tour	NOUN	obj	faire
de	ADP	case	ville
la	DET	det	ville
ville	NOUN	nmod	tour
,	PUNCT	punct	eu
de	ADP	mark	visiter
visiter	VERB	xcomp	eu
un	DET	det	hôpital
hôpital	NOUN	obj	visiter
,	PUNCT	punct	eu
de	ADP	mark	rentrer
rentrer	VERB	xcomp	eu
à	ADP	case	hôtel
son	DET	det	hôtel
hôtel	NOUN	obl:arg	rentrer
