Text	POS	Dep	Head
                         	SPACE	ROOT	                         
LE	DET	det	TOUR
TOUR	NOUN	ROOT	TOUR
DU	ADP	case	MONDE
MONDE	NOUN	nmod	TOUR
                                	SPACE	ROOT	                                
EN	ADP	ROOT	EN
                       	SPACE	ROOT	                       
QUATRE-VINGTS	ADJ	amod	JOURS
JOURS	NOUN	ROOT	JOURS
              	SPACE	ROOT	              
=	X	dep	=
=	X	dep	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	X	ROOT	=
=	PRON	ROOT	=
=	VERB	ROOT	=
                         	SPACE	ROOT	                         
par	ADP	case	Jules
Jules	PROPN	ROOT	Jules
Verne	PROPN	flat:name	Jules
                                	SPACE	ROOT	                                
I	NOUN	ROOT	I
                       	SPACE	ROOT	                       
--------------------	PUNCT	ROOT	--------------------
             	SPACE	ROOT	             
DANS	ADP	case	LEQUEL
LEQUEL	PRON	obl:mod	FOGG
PHILEAS	ADJ	amod	FOGG
FOGG	PROPN	ROOT	FOGG
ET	CCONJ	cc	PASSEPARTOUT
PASSEPARTOUT	NOUN	conj	FOGG
          	SPACE	ROOT	          
S'	PRON	expl:pass	ACCEPTENT
ACCEPTENT	NOUN	ROOT	ACCEPTENT
RÉCIPROQUEMENT	ADJ	punct	ACCEPTENT
L'	DET	det	UN
UN	PRON	ROOT	UN
COMME	NOUN	case	MAÎTRE
MAÎTRE	NOUN	nmod	UN
,	PUNCT	punct	UN
                     	SPACE	ROOT	                     
L'	DET	det	AUTRE
AUTRE	NOUN	ROOT	AUTRE
COMME	VERB	mark	DOMESTIQUE
DOMESTIQUE	ADJ	ROOT	DOMESTIQUE
En	ADP	case	année
l'	DET	det	année
année	NOUN	ROOT	année
1872	NUM	nummod	année
,	PUNCT	ROOT	,
la	DET	det	maison
maison	NOUN	punct	,
portant	VERB	acl	maison
le	DET	det	numéro
numéro	NOUN	obj	portant
7	NUM	nmod	numéro
de	ADP	case	Saville
Saville	PROPN	nmod	numéro
-	PROPN	nmod	numéro
row	PROPN	nmod	numéro
,	PUNCT	punct	Burlington
Burlington	PROPN	conj	maison
Gardens	PROPN	flat:foreign	Burlington
--	PUNCT	punct	maison
maison	NOUN	ROOT	maison
dans	ADP	case	laquelle
laquelle	PRON	ROOT	laquelle
Sheridan	PROPN	flat:name	laquelle
mourut	PROPN	flat:name	Sheridan
en	ADP	case	1814
1814	NUM	ROOT	1814
--	NOUN	nmod	1814
,	PUNCT	punct	habitée
était	AUX	aux:pass	habitée
habitée	VERB	ROOT	habitée
par	ADP	case	Phileas
Phileas	PROPN	obl:agent	habitée
Fogg	PROPN	flat:name	Phileas
,	PUNCT	punct	Phileas
esq	NOUN	obl:mod	habitée
.	PUNCT	punct	habitée
,	PUNCT	punct	un
l'	DET	det	un
un	PRON	ROOT	un
des	ADP	case	membres
membres	NOUN	nmod	un
les	DET	det	singuliers
plus	ADV	advmod	singuliers
singuliers	NOUN	amod	membres
et	CCONJ	cc	remarqués
les	DET	det	remarqués
plus	ADV	advmod	remarqués
remarqués	VERB	conj	singuliers
du	ADP	case	Reform
Reform	PROPN	obl:arg	remarqués
-	NOUN	flat:name	un
Club	NOUN	appos	un
de	ADP	case	Londres
Londres	PROPN	nmod	Club
,	PUNCT	punct	un
bien	ADV	mark	semblât
qu'	SCONJ	fixed	bien
il	PRON	nsubj	semblât
semblât	VERB	advcl	un
prendre	VERB	xcomp	semblât
à	ADP	case	tâche
tâche	NOUN	obl:arg	prendre
de	ADP	case	rien
ne	ADV	advmod	rien
rien	PRON	nmod	tâche
faire	VERB	xcomp	rien
qui	PRON	nsubj	pût
pût	VERB	acl:relcl	rien
attirer	VERB	xcomp	pût
l'	DET	det	attention
attention	NOUN	obj	attirer
.	PUNCT	punct	un
A	AUX	case	un
l'	DET	det	un
un	PRON	obl:mod	succédait
des	ADP	case	orateurs
plus	ADV	advmod	grands
grands	ADJ	amod	orateurs
orateurs	NOUN	nmod	un
qui	PRON	nsubj	honorent
honorent	ADV	acl:relcl	orateurs
l'	DET	det	Angleterre
