LES	B-GN
REVOLTES	I-GN
DE	O
LA	O
""""	B-GN
BOUNTY	I-GN
""""	O
Jules	B-GN
Verne	I-GN
L'	B-GN
ABANDON	I-GN
----------------	B-GN
"		"	O
  	O
Pas	O
le	B-GN
moindre	I-GN
souffle	I-GN
,	O
pas	B-GN
une	I-GN
ride	I-GN
à	O
la	B-GN
surface	I-GN
de	O
la	O
mer	O
,	O
pas	B-GN
un	I-GN
nuage	I-GN
au	O
ciel	B-GN
.	O
Les	B-GN
splendides	I-GN
constellations	B-GN
de	O
l'	B-GN
hémisphère	I-GN
austral	I-GN
se	O
dessinent	O
avec	O
une	O
incomparable	O
pureté	O
.	O
Les	B-GN
voiles	I-GN
de	O
la	B-GN
Bounty	I-GN
 	O
pendent	O
le	B-GN
long	I-GN
des	O
mâts	B-GN
,	O
le	B-GN
bâtiment	I-GN
est	O
immobile	O
,	O
et	O
la	B-GN
lumière	I-GN
de	O
la	B-GN
lune	I-GN
,	O
pâlissant	O
devant	O
l'	B-GN
aurore	I-GN
qui	B-GN
se	O
lève	O
,	O
éclaire	O
l'	B-GN
espace	I-GN
d'	O
une	B-GN
lueur	I-GN
indefinissable	I-GN
.	O
  	O
La	B-GN
 	I-GN
Bounty	I-GN
,	O
navire	O
de	O
deux	B-GN
cent	I-GN
quinze	I-GN
tonneaux	I-GN
monté	O
par	O
quarante	O
-	O
six	B-GN
hommes	I-GN
,	O
avait	O
quitté	O
Spithead	O
,	O
le	O
23	O
décembre	B-GN
l787	B-GN
,	O
sous	O
le	B-GN
commandement	I-GN
du	O
capitaine	B-GN
Bligh	I-GN
,	O
marin	O
expérimenté	O
mais	O
un	O
peu	O
rude	O
,	O
qui	B-GN
avait	O
accompagné	O
le	B-GN
capitaine	I-GN
Cook	B-GN
dans	O
son	B-GN
dernier	I-GN
voyage	I-GN
d'	O
exploration	B-GN
[	O
Nous	B-GN
croyons	O
bon	O
de	O
prévenir	O
nos	B-GN
lecteurs	I-GN
que	O
ce	B-GN
récit	I-GN
n'	O
est	O
point	O
une	B-GN
fiction	I-GN
.	O
Tous	B-GN
les	I-GN
détails	I-GN
en	O
sont	O
pris	O
aux	O
annales	O
maritimes	O
de	O
la	B-GN
Grande-Bretagne	I-GN
.	O
La	B-GN
réalité	I-GN
fournit	O
quelquefois	O
des	B-GN
faits	I-GN
si	B-GN
romanesques	I-GN
que	B-GN
l'	I-GN
imagination	I-GN
elle-même	O
ne	O
pourrait	O
rien	B-GN
y	I-GN
ajouter.].	I-GN
  	O
La	B-GN
Bounty	I-GN
avait	O
pour	O
mission	O
spéciale	O
de	O
transporter	O
aux	O
Antilles	B-GN
l'	B-GN
arbre	I-GN
à	O
pain	B-GN
,	O
qui	B-GN
pousse	O
à	O
profusion	B-GN
dans	O
l'	B-GN
archipel	I-GN
de	O
Taïti	B-GN
.	O
Après	O
une	B-GN
relâche	I-GN
de	O
six	B-GN
mois	I-GN
dans	O
la	B-GN
baie	I-GN
de	O
Matavaï	B-GN
,	B-GN
William	I-GN
Bligh	I-GN
,	I-GN
ayant	I-GN
chargé	I-GN
un	I-GN
millier	I-GN
de	I-GN
ces	I-GN
arbres	I-GN
,	I-GN
avait	O
pris	O
la	B-GN
route	I-GN
des	O
Indes	B-GN
occidentales	I-GN
,	O
après	O
un	O
assez	O
court	O
séjour	O
aux	O
îles	O
des	O
Amis	B-GN
.	O
   	O
Maintes	B-GN
fois	I-GN
,	O
le	B-GN
caractère	I-GN
soupçonneux	I-GN
et	O
emporté	O
du	O
capitaine	B-GN
avait	O
amené	O
des	O
scènes	B-GN
désagréables	I-GN
entre	O
quelques-uns	B-GN
de	O
ses	B-GN
officiers	I-GN
et	O
lui	B-GN
.	O
Cependant	O
,	O
la	O
tranquillité	O
qui	B-GN
régnait	O
à	O
bord	B-GN
de	O
la	B-GN
Bounty	I-GN
,	O
au	O
lever	O
du	O
soleil	B-GN
,	O
le	O
28	O
avril	B-GN
1789	O
,	O
ne	O
faisait	O
rien	B-GN
présager	I-GN
des	B-GN
graves	I-GN
événements	I-GN
qui	B-GN
allaient	O
se	O
produire	O
.	O
   	O
Tout	B-GN
semblait	I-GN
calme	I-GN
,	O
en	O
effet	B-GN
,	O
lorsque	O
tout	O
à	O
coup	B-GN
une	O
animation	O
insolite	O
se	O
propage	O
sur	O
le	B-GN
bâtiment	I-GN
.	O
Quelques	B-GN
matelots	I-GN
s'	O
accostent	O
,	O
échangent	O
deux	O
ou	O
trois	B-GN
paroles	I-GN
à	O
voix	B-GN
basse	I-GN
,	O
puis	O
disparaissent	O
à	O
petits	O
pas	O
.	O
   	O
Est	B-GN
-ce	O
le	B-GN
quart	I-GN
du	O
matin	B-GN
qu'	B-GN
on	B-GN
relève	O
?	O
Quelque	B-GN
accident	I-GN
inopiné	O
s'	O
est	O
-il	O
produit	O
à	O
bord	B-GN
?	O
""""	O
Pas	O
de	O
bruit	B-GN
surtout	O
,	B-GN
mes	I-GN
amis	I-GN
,	O
dit	O
Fletcher	O
Christian	O
,	O
le	B-GN
second	I-GN
de	O
la	B-GN
Bounty	I-GN
.	O
Bob	O
,	O
armez	O
votre	B-GN
pistolet	I-GN
,	O
mais	O
ne	O
tirez	O
pas	O
sans	O
mon	B-GN
ordre	I-GN
.	O
Vous	B-GN
,	O
Churchill	B-GN
,	O
prenez	O
votre	B-GN
hache	I-GN
et	O
faites	O
sauter	O
la	B-GN
serrure	I-GN
de	O
la	B-GN
cabine	I-GN
du	O
capitaine	B-GN
.	O
Une	B-GN
dernière	I-GN
recommandation	I-GN
 	O
il	O
me	O
le	O
faut	O
vivant	O
!	O
""""	O
   	O
Suivi	O
d'	O
une	B-GN
dizaine	I-GN
de	O
matelots	O
armés	O
de	O
sabres	B-GN
,	B-GN
de	I-GN
coutelas	I-GN
et	O
de	B-GN
pistolets	I-GN
,	O
Christian	B-GN
se	O
glissa	O
dans	O
l'	B-GN
entrepont	I-GN
;	O
puis	O
,	O
après	O
avoir	O
placé	O
deux	B-GN
sentinelles	I-GN
devant	O
la	B-GN
cabine	I-GN
de	O
Stewart	B-GN
et	O
de	B-GN
Peter	I-GN
Heywood	O
,	O
le	B-GN
maître	I-GN
d'	O
équipage	B-GN
et	O
le	B-GN
midshipman	I-GN
de	O
la	B-GN
Bounty	I-GN
,	O
il	O
s'	O
arrêta	O
devant	O
la	B-GN
porte	I-GN
du	O
capitaine	B-GN
.	O
  	O
""""	B-GN
Allons	I-GN
,	O
garçons	O
,	O
dit	O
-il	O
,	O
un	B-GN
bon	I-GN
coup	I-GN
d'	O
épaule	B-GN
!	O
""""	O
  	O
La	O
porte	O
céda	O
sous	O
une	B-GN
pression	I-GN
vigoureuse	I-GN
,	O
et	O
les	B-GN
matelots	I-GN
se	O
précipitèrent	O
dans	O
la	B-GN
cabine	I-GN
.	O
  	O
Surpris	B-GN
d'	O
abord	B-GN
par	I-GN
l'	I-GN
obscurité	I-GN
,	O
et	O
réfléchissant	O
peut-être	O
à	O
la	B-GN
gravité	I-GN
de	O
leurs	B-GN
actes	I-GN
,	O
ils	B-GN
eurent	O
un	B-GN
moment	I-GN
d'	O
hésitation	B-GN
.	O
  	O
""""	B-GN
Holà	I-GN
!	O
qu'	B-GN
y	O
a	O
-t	O
-il	O
?	O
Qui	B-GN
donc	O
ose	O
se	B-GN
permettre	O
?	O
...	O
s'	O
écria	O
le	B-GN
capitaine	I-GN
en	O
sautant	O
à	O
bas	B-GN
de	O
son	B-GN
cadre	I-GN
.	O
  	O
--	B-GN
Silence	I-GN
,	B-GN
Bligh	I-GN
