Jules	B-GN
Verne	I-GN
ROBUR	B-GN
LE	B-GN
CONQUÉRANT	I-GN
 	O
 	O
I	B-GN
OÙ	B-GN
LE	O
MONDE	O
SAVANT	O
ET	O
LE	O
MONDE	O
IGNORANT	O
SONT	B-GN
AUSSI	I-GN
EMBARRASSES	I-GN
L'	B-GN
UN	I-GN
OU	O
L'	B-GN
AUTRE	I-GN
.	O
 	O
""""	B-GN
PAN	I-GN
!	O
...	O
PAN	B-GN
!	O
...	O
""""	O
Les	B-GN
deux	I-GN
coups	I-GN
de	O
pistolet	B-GN
partirent	O
presque	O
en	O
même	B-GN
temps	I-GN
.	O
Une	B-GN
vache	I-GN
,	O
qui	B-GN
paissait	O
à	O
cinquante	O
pas	O
de	O
là	O
,	O
reçut	O
une	B-GN
des	I-GN
balles	I-GN
dans	O
l'	B-GN
échine	I-GN
.	O
Elle	B-GN
n'	O
était	O
pour	O
rien	B-GN
dans	O
l'	B-GN
affaire	I-GN
,	O
cependant	O
.	O
Ni	O
l'	B-GN
un	I-GN
ni	O
l'	B-GN
autre	I-GN
des	O
deux	B-GN
adversaires	I-GN
n'	O
avait	O
été	O
touché	O
.	O
Quels	O
étaient	O
ces	B-GN
deux	I-GN
gentlemen	I-GN
?	O
On	B-GN
ne	O
sait	O
,	O
et	O
,	O
cependant	O
,	O
c'	O
eût	O
été	O
là	O
,	O
sans	O
doute	B-GN
,	O
l'	O
occasion	O
de	O
faire	O
parvenir	O
leurs	B-GN
noms	I-GN
à	O
la	B-GN
postérité	I-GN
.	O
Tout	B-GN
ce	I-GN
qu'	O
on	B-GN
peut	O
dire	O
,	O
c'	O
est	O
que	O
le	O
plus	O
âgé	O
était	O
Anglais	O
,	O
le	B-GN
plus	I-GN
jeune	I-GN
Américain	I-GN
.	O
Quant	O
à	O
indiquer	O
en	O
quel	B-GN
endroit	I-GN
l'	B-GN
inoffensif	I-GN
ruminant	I-GN
venait	O
de	O
paître	O
sa	B-GN
dernière	I-GN
touffe	I-GN
d'	O
herbe	B-GN
,	O
rien	B-GN
de	O
plus	B-GN
facile	I-GN
.	O
C'	B-GN
était	O
sur	O
la	O
rive	O
droite	B-GN
du	O
Niagara	B-GN
,	O
non	O
loin	O
de	O
ce	O
pont	O
suspendu	O
qui	B-GN
réunit	O
la	B-GN
rive	I-GN
américaine	I-GN
à	O
la	B-GN
rive	I-GN
canadienne	I-GN
,	O
trois	B-GN
milles	I-GN
au	O
-	B-GN
dessous	B-GN
des	O
chutes	B-GN
.	O
L'	B-GN
Anglais	I-GN
s'	O
avança	O
alors	O
vers	O
l'	B-GN
Américain	I-GN
:	O
""""	O
Je	B-GN
n	O
en	O
soutiens	O
pas	O
moins	O
que	O
c'	B-GN
était	O
le	O
Rule	O
Britannia	O
!	O
dit	O
-il	O
.	O
--	O
Non	O
!	O
le	B-GN
Yankee	I-GN
Doodle	I-GN
!	I-GN
""""	O
répliqua	O
l'	B-GN
autre	I-GN
.	O
La	B-GN
querelle	I-GN
allait	O
recommencer	O
,	O
lorsque	O
l'	B-GN
un	I-GN
des	O
témoins	B-GN
--	O
sans	O
doute	B-GN
dans	O
l'	B-GN
intérêt	I-GN
du	O
bétail	B-GN
--	B-GN
s'	O
interposa	O
,	O
disant	O
:	O
""""	B-GN
Mettons	I-GN
que	B-GN
c'	B-GN
était	O
le	O
Rule	O
Doodle	O
et	O
le	O
Yankee	O
Britannia	O
,	O
et	O
allons	O
déjeuner	O
!	O
""""	O
Ce	B-GN
compromis	I-GN
entre	O
les	B-GN
deux	I-GN
chants	I-GN
nationaux	I-GN
de	O
l'	B-GN
Amérique	I-GN
et	O
de	B-GN
la	I-GN
Grande-Bretagne	I-GN
fut	O
adopté	O
à	O
la	B-GN
satisfaction	I-GN
générale	I-GN
.	O
Américains	B-GN
et	O
Anglais	B-GN
,	O
remontant	O
la	B-GN
rive	I-GN
gauche	I-GN
du	O
Niagara	B-GN
,	O
vinrent	O
s'	O
attabler	O
dans	O
l'	B-GN
hôtel	I-GN
de	O
Goat	B-GN
-	B-GN
Island	B-GN
--	O
un	B-GN
terrain	I-GN
neutre	I-GN
entre	I-GN
les	I-GN
deux	I-GN
chutes	I-GN
.	O
Comme	O
