                         	O
LE	B-GN
TOUR	I-GN
DU	O
MONDE	B-GN
                                	O
EN	O
                       	O
QUATRE-VINGTS	B-GN
JOURS	I-GN
              	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	O
=	B-GN
=	O
                         	O
par	O
Jules	B-GN
Verne	I-GN
                                	O
I	B-GN
                       	O
--------------------	O
             	O
DANS	O
LEQUEL	B-GN
PHILEAS	O
FOGG	O
ET	O
PASSEPARTOUT	B-GN
          	O
S'	B-GN
ACCEPTENT	I-GN
RÉCIPROQUEMENT	O
L'	B-GN
UN	I-GN
COMME	B-GN
MAÎTRE	I-GN
,	O
                     	O
L'	B-GN
AUTRE	I-GN
COMME	O
DOMESTIQUE	O
En	O
l'	B-GN
année	I-GN
1872	O
,	O
la	O
maison	O
portant	O
le	B-GN
numéro	I-GN
7	O
de	O
Saville	B-GN
-	B-GN
row	B-GN
,	O
Burlington	O
Gardens	O
--	B-GN
maison	I-GN
dans	O
laquelle	B-GN
Sheridan	I-GN
mourut	I-GN
en	O
1814	O
--	B-GN
,	O
était	O
habitée	O
par	O
Phileas	B-GN
Fogg	I-GN
,	I-GN
esq	B-GN
.	O
,	B-GN
l'	I-GN
un	I-GN
des	O
membres	B-GN
les	I-GN
plus	I-GN
singuliers	I-GN
et	I-GN
les	I-GN
plus	I-GN
remarqués	I-GN
du	I-GN
Reform	I-GN
-	O
Club	B-GN
de	O
Londres	B-GN
,	O
bien	O
qu'	O
il	B-GN
semblât	O
prendre	O
à	O
tâche	B-GN
de	O
ne	B-GN
rien	I-GN
faire	O
qui	B-GN
pût	O
attirer	O
l'	B-GN
attention	I-GN
.	O
A	B-GN
l'	I-GN
un	I-GN
des	O
plus	B-GN
grands	I-GN
orateurs	I-GN
qui	B-GN
honorent	O
l'	B-GN
Angleterre	I-GN
,	O
succédait	O
donc	O
ce	B-GN
Phileas	I-GN
Fogg	I-GN
,	I-GN
personnage	I-GN
énigmatique	I-GN
,	I-GN
dont	I-GN
on	I-GN
ne	I-GN
savait	I-GN
rien	I-GN
,	I-GN
sinon	I-GN
que	I-GN
c'	I-GN
était	I-GN
un	I-GN
fort	I-GN
galant	I-GN
homme	I-GN
et	I-GN
l'	I-GN
un	I-GN
des	I-GN
plus	I-GN
beaux	I-GN
gentlemen	I-GN
de	I-GN
la	I-GN
haute	I-GN
société	I-GN
anglaise	I-GN
.	O
On	B-GN
disait	O
qu'	O
il	O
ressemblait	O
à	O
Byron	B-GN
--	O
par	O
la	B-GN
tête	I-GN
,	O
car	O
il	B-GN
était	O
irréprochable	O
quant	B-GN
aux	I-GN
pieds	I-GN
--	B-GN
,	O
mais	O
un	B-GN
Byron	I-GN
à	O
moustaches	B-GN
et	O
à	O
favoris	O
,	O
un	B-GN
Byron	I-GN
impassible	I-GN
,	O
qui	B-GN
aurait	O
vécu	O
mille	B-GN
ans	I-GN
sans	O
vieillir	O
.	O
Anglais	B-GN
,	O
à	O
coup	B-GN
sûr	O
,	O
Phileas	B-GN
Fogg	I-GN
n'	O
était	O
peut-être	O
pas	O
Londonner	O
.	O
On	B-GN
ne	O
l'	B-GN
avait	O
jamais	O
vu	O
ni	B-GN
à	I-GN
la	I-GN
Bourse	I-GN
,	O
ni	O
à	B-GN
la	I-GN
Banque	I-GN
,	O
ni	O
dans	B-GN
aucun	I-GN
des	O
comptoirs	B-GN
de	O
la	B-GN
Cité	I-GN
.	O
Ni	B-GN
les	I-GN
bassins	I-GN
ni	O
les	B-GN
docks	I-GN
de	O
Londres	B-GN
n'	O
avaient	O
jamais	O
reçu	O
un	B-GN
navire	I-GN
ayant	O
pour	O
armateur	B-GN
Phileas	I-GN
Fogg	I-GN
.	O
Ce	B-GN
gentleman	I-GN
ne	O
figurait	O
dans	O
aucun	B-GN
comité	I-GN
d'	O
administration	B-GN
.	O
Son	B-GN
nom	I-GN
n'	O
avait	O
jamais	O
retenti	O
dans	O
un	B-GN
collège	I-GN
d'	O
avocats	B-GN
,	O
ni	O
au	B-GN
Temple	I-GN
,	O
ni	O
à	B-GN
Lincoln'	I-GN
s	B-GN
-	B-GN
inn	O
,	O
ni	O
à	B-GN
Gray'	I-GN
s	O
-	O
inn	O
.	O
Jamais	O
il	B-GN
ne	O
plaida	O
ni	B-GN
à	I-GN
la	I-GN
Cour	I-GN
du	O
chancelier	B-GN
,	O
ni	B-GN
au	I-GN
Banc	I-GN
de	O
la	B-GN
Reine	I-GN
,	O
ni	O
à	B-GN
l'	I-GN
Échiquier	I-GN
,	O
ni	O
en	B-GN
Cour	I-GN
ecclésiastique	O
.	O
Il	B-GN
n'	O
était	O
ni	O
industriel	O
,	O
ni	O
négociant	O
,	O
ni	O
marchand	O
,	O
ni	O
agriculteur	O
.	O
Il	B-GN
ne	O
faisait	O
partie	B-GN
ni	O
de	B-GN
l'	I-GN
Institution	I-GN
royale	O
de	O
la	B-GN
Grande-Bretagne	I-GN
,	O
ni	B-GN
de	I-GN
l'	I-GN
Institution	I-GN
de	O
Londres	B-GN
,	O
ni	B-GN
de	I-GN
l'	I-GN
Institution	I-GN
des	O
Artisans	B-GN
,	O
ni	B-GN
de	I-GN
l'	I-GN
Institution	I-GN
Russell	I-GN
,	I-GN
ni	I-GN
de	I-GN
l'	I-GN
Institution	I-GN
littéraire	I-GN
de	I-GN
l'	I-GN
Ouest	I-GN
,	I-GN
ni	I-GN
de	I-GN
l'	I-GN
Institution	I-GN
du	I-GN
Droit	I-GN
,	O
ni	B-GN
de	I-GN
cette	I-GN
Institution	I-GN
des	O
Arts	B-GN
et	O
des	B-GN
Sciences	I-GN
réunis	O
,	O
qui	B-GN
est	O
placée	O
sous	O
le	B-GN
patronage	I-GN
direct	I-GN
de	O
Sa	B-GN
